[2026-01-10 23:39:53.978] [info] HikRobot's daemon thread started.
[2026-01-10 23:39:55.197] [info] HikRobot's capture thread started.
[2026-01-10 23:39:56.127] [debug] see strange armor: big four
[2026-01-10 23:39:56.164] [debug] see strange armor: big four
[2026-01-10 23:39:56.198] [debug] see strange armor: big four
[2026-01-10 23:39:56.233] [debug] see strange armor: big four
[2026-01-10 23:39:56.268] [debug] see strange armor: big four
[2026-01-10 23:39:56.302] [debug] see strange armor: big four
[2026-01-10 23:39:56.336] [debug] see strange armor: big four
[2026-01-10 23:39:56.370] [debug] see strange armor: big four
[2026-01-10 23:39:56.406] [debug] see strange armor: big four
[2026-01-10 23:39:56.441] [debug] see strange armor: big four
[2026-01-10 23:39:56.475] [debug] see strange armor: big four
[2026-01-10 23:39:56.509] [debug] see strange armor: big four
[2026-01-10 23:40:00.427] [debug] see strange armor: big four
[2026-01-10 23:40:00.461] [debug] see strange armor: big four
[2026-01-10 23:40:00.495] [debug] see strange armor: big four
[2026-01-10 23:40:01.008] [debug] see strange armor: big four
[2026-01-10 23:40:01.075] [debug] see strange armor: big four
[2026-01-10 23:40:01.109] [debug] see strange armor: big four
[2026-01-10 23:40:01.143] [debug] see strange armor: big four
[2026-01-10 23:40:01.177] [debug] see strange armor: big four
[2026-01-10 23:40:01.212] [debug] see strange armor: big four
[2026-01-10 23:40:01.246] [debug] see strange armor: big four
[2026-01-10 23:40:01.281] [debug] see strange armor: big four
[2026-01-10 23:40:01.317] [debug] see strange armor: big four
[2026-01-10 23:40:01.351] [debug] see strange armor: big four
[2026-01-10 23:40:01.387] [debug] see strange armor: big four
[2026-01-10 23:40:01.422] [debug] see strange armor: big four
[2026-01-10 23:40:01.456] [debug] see strange armor: big four
[2026-01-10 23:40:01.490] [debug] see strange armor: big four
[2026-01-10 23:40:01.559] [debug] see strange armor: big four
[2026-01-10 23:40:01.593] [debug] see strange armor: big four
[2026-01-10 23:40:01.628] [debug] see strange armor: big four
[2026-01-10 23:40:01.662] [debug] see strange armor: big four
[2026-01-10 23:40:01.696] [debug] see strange armor: big four
[2026-01-10 23:40:01.731] [debug] see strange armor: big four
[2026-01-10 23:40:01.765] [debug] see strange armor: big four
[2026-01-10 23:40:01.802] [debug] see strange armor: big four
[2026-01-10 23:40:01.837] [debug] see strange armor: big four
[2026-01-10 23:40:01.871] [debug] see strange armor: big four
[2026-01-10 23:40:01.907] [debug] see strange armor: big four
[2026-01-10 23:40:01.941] [debug] see strange armor: big four
[2026-01-10 23:40:01.976] [debug] see strange armor: big four
[2026-01-10 23:40:02.010] [debug] see strange armor: big four
[2026-01-10 23:40:02.730] [debug] see strange armor: big four
[2026-01-10 23:40:02.765] [debug] see strange armor: big four
[2026-01-10 23:40:02.802] [debug] see strange armor: big four
[2026-01-10 23:40:02.836] [debug] see strange armor: big four
[2026-01-10 23:40:02.870] [debug] see strange armor: big four
[2026-01-10 23:40:02.906] [debug] see strange armor: big four
[2026-01-10 23:40:02.942] [debug] see strange armor: big four
[2026-01-10 23:40:02.977] [debug] see strange armor: big four
[2026-01-10 23:40:03.010] [debug] see strange armor: big four
[2026-01-10 23:40:03.044] [debug] see strange armor: big four
[2026-01-10 23:40:03.078] [debug] see strange armor: big four
[2026-01-10 23:40:03.113] [debug] see strange armor: big four
[2026-01-10 23:40:03.147] [debug] see strange armor: big four
[2026-01-10 23:40:03.182] [debug] see strange armor: big four
[2026-01-10 23:40:03.217] [debug] see strange armor: big four
[2026-01-10 23:40:03.254] [debug] see strange armor: big four
[2026-01-10 23:40:03.288] [debug] see strange armor: big four
[2026-01-10 23:40:03.323] [debug] see strange armor: big four
[2026-01-10 23:40:03.358] [debug] see strange armor: big four
[2026-01-10 23:40:03.392] [debug] see strange armor: big four
[2026-01-10 23:40:03.428] [debug] see strange armor: big four
[2026-01-10 23:40:04.042] [debug] see strange armor: big four
[2026-01-10 23:40:04.076] [debug] see strange armor: big four
[2026-01-10 23:40:04.110] [debug] see strange armor: big four
[2026-01-10 23:40:04.144] [debug] see strange armor: big four
[2026-01-10 23:40:04.178] [debug] see strange armor: big four
[2026-01-10 23:40:04.214] [debug] see strange armor: big four
[2026-01-10 23:40:14.998] [debug] see strange armor: big four
[2026-01-10 23:40:15.033] [debug] see strange armor: big four
[2026-01-10 23:40:15.068] [debug] see strange armor: big four
[2026-01-10 23:40:15.104] [debug] see strange armor: big four
[2026-01-10 23:40:15.139] [debug] see strange armor: big four
[2026-01-10 23:40:15.173] [debug] see strange armor: big four
[2026-01-10 23:40:15.207] [debug] see strange armor: big four
